,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,141,1,2016-03-26,25-172,NOP,TOR,-24,0,24:18,5,10,.500,0,0,,1,2,.500,1,3,4,3,0,0,0,2,11,8.5,+1
1,142,2,2016-03-28,25-174,NOP,NYK,8,0,18:31,2,5,.400,1,4,.250,0,0,,0,4,4,2,2,1,1,3,5,5.4,+4
2,143,3,2016-03-30,25-176,NOP,SAS,-8,1,30:53,6,15,.400,1,5,.200,1,2,.500,1,4,5,4,1,0,2,2,14,8.4,-13
3,144,4,2016-03-31,25-177,NOP,DEN,6,1,32:23,6,14,.429,2,5,.400,0,0,,0,7,7,2,2,1,1,2,14,11.0,-5
4,145,5,2016-04-03,25-180,NOP,BRK,19,1,34:00,6,11,.545,0,3,.000,1,3,.333,2,9,11,3,0,0,2,2,13,10.3,+9
5,146,6,2016-04-05,25-182,NOP,PHI,-14,0,26:40,3,7,.429,0,0,,2,2,1.000,5,3,8,2,1,0,3,2,8,7.3,-19
6,147,7,2016-04-06,25-183,NOP,BOS,-7,0,27:57,5,11,.455,2,6,.333,2,2,1.000,1,5,6,1,0,0,1,2,14,9.4,+6
7,148,8,2016-04-08,25-185,NOP,LAL,8,0,24:06,5,11,.455,2,6,.333,0,1,.000,0,2,2,0,0,0,4,0,12,2.5,+7
8,149,9,2016-04-09,25-186,NOP,PHO,-21,0,26:30,4,12,.333,1,4,.250,4,4,1.000,1,4,5,1,2,1,0,4,13,9.9,-7
9,150,10,2016-04-11,25-188,NOP,CHI,-5,0,23:47,5,10,.500,3,6,.500,2,3,.667,0,3,3,2,0,0,2,4,15,8.3,-3
10,151,11,2016-04-13,25-190,NOP,MIN,-35,1,34:36,2,10,.200,1,6,.167,1,2,.500,1,6,7,5,0,0,1,1,6,4.0,-44
