,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,98,1,2014-10-28,25-144,LAL,HOU,-18,0,7:07,1,5,.200,0,0,,0,0,,0,0,0,0,1,0,0,1,2,-0.5,+8
1,99,2,2014-10-29,25-145,LAL,PHO,-20,0,12:00,2,4,.500,0,0,,2,2,1.000,0,1,1,1,0,0,1,0,6,4.0,+5
2,100,3,2014-10-31,25-147,LAL,LAC,-7,0,13:46,2,3,.667,0,0,,4,4,1.000,1,1,2,0,0,0,3,2,8,3.9,+6
3,101,4,2014-11-01,25-148,LAL,GSW,-23,0,6:57,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,2,1,4,0.3,-6
4,102,6,2014-11-09,25-156,LAL,CHO,15,0,11:22,2,4,.500,0,0,,2,4,.500,1,2,3,0,0,1,0,1,6,4.8,+7
5,103,7,2014-11-11,25-158,LAL,MEM,-5,0,5:08,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,0,2,2.4,-4
6,104,8,2014-11-12,25-159,LAL,NOP,-7,0,3:10,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+10
7,105,9,2014-11-14,25-161,LAL,SAS,-13,0,14:24,1,5,.200,0,0,,0,0,,1,2,3,0,0,0,0,0,2,0.2,+1
8,106,10,2014-11-16,25-163,LAL,GSW,-21,0,15:12,5,8,.625,0,0,,0,0,,1,2,3,1,1,0,0,1,10,9.0,+17
9,107,11,2014-11-18,25-165,LAL,ATL,5,0,12:23,2,4,.500,0,0,,0,0,,0,1,1,1,0,0,0,3,4,1.8,-4
10,108,12,2014-11-19,25-166,LAL,HOU,6,0,6:57,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.2,-4
11,109,13,2014-11-21,25-168,LAL,DAL,-34,0,16:08,5,5,1.000,0,0,,0,2,.000,1,3,4,1,0,0,1,3,10,7.8,-13
12,110,14,2014-11-23,25-170,LAL,DEN,-7,0,18:09,4,6,.667,0,0,,5,6,.833,2,1,3,1,3,1,0,2,13,15.3,+3
13,111,15,2014-11-26,25-173,LAL,MEM,-6,0,12:05,3,5,.600,0,0,,0,0,,1,3,4,0,0,0,1,3,6,3.1,-4
14,112,16,2014-11-28,25-175,LAL,MIN,-1,0,8:15,3,5,.600,0,0,,0,0,,0,0,0,0,0,0,0,0,6,3.7,+2
15,113,17,2014-11-30,25-177,LAL,TOR,7,0,18:50,2,4,.500,0,0,,2,3,.667,3,3,6,0,0,2,1,0,6,7.0,+7
16,114,18,2014-12-02,25-179,LAL,DET,10,0,17:21,1,8,.125,0,0,,1,2,.500,0,1,1,0,0,1,0,3,3,-2.8,0
17,115,19,2014-12-03,25-180,LAL,WAS,-16,0,20:13,3,9,.333,0,0,,0,0,,1,4,5,3,0,2,0,1,6,5.9,+9
