,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,25,1,2004-04-17,26-264,SAS,MEM,24,0,27:00,5,10,.500,0,3,.000,5,5,1.000,0,3,3,3,1,1,2,3,15,11.5,+9
1,26,2,2004-04-19,26-266,SAS,MEM,17,0,28:00,1,8,.125,0,3,.000,3,4,.750,1,6,7,0,2,0,3,3,5,-0.3,+14
2,27,3,2004-04-22,26-269,SAS,MEM,2,0,29:00,3,9,.333,2,5,.400,4,6,.667,1,1,2,4,2,0,2,0,12,9.9,+17
3,28,4,2004-04-25,26-272,SAS,MEM,13,0,23:00,2,3,.667,0,1,.000,6,6,1.000,2,2,4,2,1,0,3,3,10,8.9,+5
4,29,5,2004-05-02,26-279,SAS,LAL,10,0,31:00,4,10,.400,2,5,.400,1,1,1.000,2,4,6,2,2,0,1,3,11,9.4,+13
5,30,6,2004-05-05,26-282,SAS,LAL,10,0,29:00,6,8,.750,0,1,.000,3,5,.600,1,4,5,6,2,0,1,4,15,16.5,+10
6,31,7,2004-05-09,26-286,SAS,LAL,-24,0,22:00,5,13,.385,4,8,.500,3,5,.600,2,2,4,2,2,0,3,2,17,10.7,-10
7,32,8,2004-05-11,26-288,SAS,LAL,-8,0,30:00,7,12,.583,2,3,.667,5,6,.833,2,6,8,5,1,0,2,4,21,19.1,+5
8,33,9,2004-05-13,26-290,SAS,LAL,-1,0,26:00,4,8,.500,0,1,.000,0,0,,2,5,7,3,3,0,3,4,8,7.4,+8
9,34,10,2004-05-15,26-292,SAS,LAL,-12,0,35:00,5,13,.385,0,5,.000,6,6,1.000,2,5,7,4,1,0,1,4,16,13.0,-10
