,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,56,1,2015-04-18,25-235,HOU,DAL,10,1,38:48,4,11,.364,1,5,.200,15,17,.882,0,2,2,11,1,0,3,1,24,23.0,+14
1,57,2,2015-04-21,25-238,HOU,DAL,12,1,34:04,5,17,.294,1,4,.250,13,13,1.000,0,5,5,6,1,0,4,4,24,15.2,+9
2,58,3,2015-04-24,25-241,HOU,DAL,2,1,36:07,15,24,.625,5,7,.714,7,7,1.000,0,5,5,9,1,0,5,4,42,33.4,-1
3,59,4,2015-04-26,25-243,HOU,DAL,-12,1,36:19,7,15,.467,1,7,.143,9,9,1.000,1,4,5,5,2,0,1,2,24,21.9,-13
4,60,5,2015-04-28,25-245,HOU,DAL,9,1,35:04,9,19,.474,4,8,.500,6,6,1.000,1,1,2,8,1,1,6,4,28,19.0,+16
5,61,6,2015-05-04,25-251,HOU,LAC,-16,1,37:00,6,13,.462,3,6,.500,5,6,.833,0,5,5,12,4,0,9,4,20,16.2,-22
6,62,7,2015-05-06,25-253,HOU,LAC,6,1,35:03,7,17,.412,3,10,.300,15,15,1.000,1,2,3,7,1,1,7,4,32,22.2,+14
7,63,8,2015-05-08,25-255,HOU,LAC,-25,1,36:25,8,16,.500,4,7,.571,5,5,1.000,0,3,3,11,0,1,5,3,25,20.1,-17
8,64,9,2015-05-10,25-257,HOU,LAC,-33,1,32:28,5,12,.417,2,4,.500,9,10,.900,0,8,8,6,0,0,1,3,21,18.6,-18
9,65,10,2015-05-12,25-259,HOU,LAC,21,1,42:52,9,20,.450,1,8,.125,7,8,.875,2,9,11,10,0,0,5,4,26,19.7,+22
10,66,11,2015-05-14,25-261,HOU,LAC,12,1,29:56,5,20,.250,2,6,.333,11,11,1.000,0,2,2,3,2,0,1,2,23,13.9,-20
11,67,12,2015-05-17,25-264,HOU,LAC,13,1,43:08,7,20,.350,2,7,.286,15,18,.833,0,7,7,8,3,1,7,1,31,22.6,+12
12,68,13,2015-05-19,25-266,HOU,GSW,-4,1,41:50,11,20,.550,1,3,.333,5,6,.833,2,9,11,9,4,0,5,4,28,25.8,-3
13,69,14,2015-05-21,25-268,HOU,GSW,-1,1,40:59,13,21,.619,3,6,.500,9,10,.900,1,9,10,9,3,1,2,2,38,38.7,+12
14,70,15,2015-05-23,25-270,HOU,GSW,-35,1,32:11,3,16,.188,1,5,.200,10,11,.909,0,3,3,4,0,0,1,0,17,9.3,-31
15,71,16,2015-05-25,25-272,HOU,GSW,13,1,40:20,13,22,.591,7,11,.636,12,13,.923,2,7,9,5,2,2,3,2,45,41.0,+21
16,72,17,2015-05-27,25-274,HOU,GSW,-14,1,43:15,2,11,.182,0,3,.000,10,13,.769,2,4,6,5,3,0,12,5,14,1.0,-4
