,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,112,1,2006-11-14,26-094,UTA,LAC,22,0,4:47,0,2,.000,0,0,,1,2,.500,1,1,2,0,0,0,1,1,1,-1.2,-1
1,113,2,2006-11-18,26-098,UTA,PHO,3,0,4:06,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,-6
2,114,3,2006-12-22,26-132,UTA,CHA,-12,0,1:39,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-2
3,115,4,2006-12-28,26-138,UTA,SAS,-23,0,15:51,1,4,.250,0,0,,2,3,.667,1,5,6,1,0,0,1,3,4,1.9,+3
4,116,5,2007-01-13,26-154,UTA,MIA,-9,0,12:54,1,2,.500,0,0,,3,4,.750,1,1,2,0,1,0,1,2,5,3.8,+5
5,117,6,2007-01-27,26-168,UTA,NOK,-11,0,5:45,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,0.6,-1
6,118,7,2007-01-29,26-170,UTA,NJN,-1,0,5:45,1,3,.333,0,0,,0,0,,1,1,2,0,0,0,0,0,2,1.3,+7
7,119,8,2007-01-31,26-172,UTA,SAS,4,0,19:13,2,5,.400,0,0,,3,4,.750,2,3,5,1,2,0,1,3,7,6.7,+8
8,120,9,2007-02-05,26-177,UTA,CHI,5,0,8:23,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,2,0,-0.2,+16
9,121,10,2007-02-10,26-182,UTA,NYK,2,0,3:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-7
10,122,11,2007-02-12,26-184,UTA,ATL,26,0,10:39,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,2,4,2.2,+7
11,123,12,2007-02-14,26-186,UTA,CLE,1,0,9:50,1,1,1.000,0,0,,0,0,,2,2,4,0,0,0,1,2,2,1.9,+2
12,124,13,2007-02-20,26-192,UTA,POR,-3,0,5:39,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,2,1,0,-3.1,+2
13,125,14,2007-02-23,26-195,UTA,DEN,10,0,33:35,2,3,.667,0,0,,1,2,.500,3,7,10,2,0,1,0,3,5,8.4,+7
14,126,15,2007-02-24,26-196,UTA,BOS,18,0,15:00,3,3,1.000,0,0,,0,0,,0,3,3,1,0,0,1,3,6,4.5,+10
15,127,16,2007-02-26,26-198,UTA,LAL,-8,0,5:10,0,2,.000,0,0,,0,0,,3,1,4,0,1,0,2,0,0,0.0,0
16,128,17,2007-02-28,26-200,UTA,MEM,16,0,6:37,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-0.5,-9
17,129,18,2007-03-02,26-202,UTA,MIN,26,0,3:09,0,0,,0,0,,1,2,.500,1,1,2,0,0,0,1,1,1,0.2,-2
18,130,19,2007-03-05,26-205,UTA,CHA,25,0,2:40,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,0,1,2,2.0,+3
19,131,20,2007-03-07,26-207,UTA,IND,22,0,12:04,3,4,.750,0,0,,0,0,,0,1,1,0,0,1,2,1,6,3.0,+5
20,132,21,2007-03-23,26-223,UTA,LAC,-32,0,18:29,2,4,.500,0,0,,1,2,.500,0,4,4,1,0,0,0,1,5,4.1,-9
21,133,22,2007-03-24,26-224,UTA,MEM,10,0,1:01,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.0,0
22,134,23,2007-03-26,26-226,UTA,WAS,6,0,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
23,135,24,2007-04-07,26-238,UTA,SEA,-3,0,5:43,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-5
24,136,25,2007-04-09,26-240,UTA,GSW,-24,0,6:48,2,5,.400,0,0,,2,6,.333,2,2,4,0,0,0,1,1,6,2.3,+5
25,137,26,2007-04-14,26-245,UTA,PHO,-28,0,7:58,3,5,.600,0,0,,0,0,,0,0,0,0,0,0,0,1,6,3.3,-3
26,138,27,2007-04-16,26-247,UTA,POR,37,0,4:33,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,+9
27,139,28,2007-04-18,26-249,UTA,HOU,10,0,17:05,2,6,.333,0,0,,4,4,1.000,1,4,5,2,0,0,0,5,8,5.9,+13
