,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2002-11-09,22-225,MEM,DEN,-11,0,6:00,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1,-0.9,0
1,2,2,2003-01-03,22-280,MEM,LAC,5,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-5
2,3,3,2003-03-05,22-341,MEM,DEN,10,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-6
3,4,4,2003-03-08,22-344,MEM,CLE,26,0,5:00,0,1,.000,0,0,,0,2,.000,0,1,1,0,0,0,1,0,0,-2.2,-7
4,5,5,2003-03-12,22-348,MEM,CHI,29,0,6:00,1,2,.500,0,0,,1,2,.500,1,3,4,0,0,0,1,0,3,2.2,+1
5,6,6,2003-03-16,22-352,MEM,ATL,32,0,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+1
6,7,7,2003-03-19,22-355,MEM,CLE,27,0,3:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,+4
7,8,8,2003-04-02,23-004,MEM,SAS,-18,0,2:00,1,1,1.000,0,0,,2,4,.500,0,0,0,0,0,0,0,0,4,2.9,0
8,9,9,2003-04-08,23-010,MEM,LAC,3,0,5:00,1,4,.250,0,0,,0,0,,2,0,2,0,0,0,0,0,2,1.0,+4
9,10,10,2003-04-11,23-013,MEM,POR,3,0,6:00,0,0,,0,0,,0,2,.000,0,1,1,0,0,1,1,1,0,-1.2,-1
10,11,11,2003-04-13,23-015,MEM,DET,-3,0,14:00,1,4,.250,0,0,,1,4,.250,2,4,6,1,0,2,1,1,3,2.7,+6
11,12,12,2003-04-15,23-017,MEM,HOU,-11,0,17:00,1,4,.250,0,0,,2,2,1.000,0,2,2,2,0,0,2,3,4,0.4,-7
